Item,Peso aprox (kg)
Toalha de rosto,"0,24"
Toalha de piso,"0,16"
Toalha de maquiagem,0
Toalha de banho,"0,39"
Pano de prato,"0,1"
Pano de pia,0
Manta queen size,"1,01"
Lençol solteiro,"0,3"
Lençol queen size,"0,3"
Lençol king size,"0,3"
Lençol casal,"0,3"
Fronha,"0,19"
Edredom solteiro,"0,87"
Edredom queen size,"2,62"
Edredom king size,"2,9"
Edredom casal,"1,11"
Capa edredom solteiro,"1,06"
Capa edredom queen size,"1,56"
Capa edredom king size,"1,8"
Capa edredom casal,"1,56"
