Cidade,Toalha de rosto,Toalha de piso,Toalha de banho,Fronha,Lençol solteiro,Lençol casal,Lençol queen size,Lençol king size,Manta queen size,Edredom solteiro,Edredom casal,Edredom queen size,Edredom king size,Capa edredom solteiro,Capa edredom casal,Capa edredom queen size,Capa edredom king size,Cobertor queen size,Pano de prato,Pano de pia,Toalha de maquiagem
Goiânia,"R$ 0,90","R$ 0,90","R$ 1,43","R$ 0,90","R$ 1,97","R$ 1,97","R$ 1,97","R$ 1,97","R$ 3,00","R$ 3,00","R$ 3,00","R$ 3,00","R$ 3,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3,00","R$ 0,90","R$ 0,90","R$ 0,90"
Brasília,"R$ 1,40","R$ 1,40","R$ 2,80","R$ 1,40","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 8,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8,90","R$ 0,00","R$ 8,90","R$ 0,00","R$ 1,40","R$ 1,40","R$ 1,40"
Caldas Novas,"R$ 1,40","R$ 1,40","R$ 2,80","R$ 1,40","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 8,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8,90","R$ 0,00","R$ 8,90","R$ 0,00","R$ 1,40","R$ 1,40","R$ 1,40"
Águas Claras,"R$ 1,40","R$ 1,40","R$ 2,80","R$ 1,40","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 8,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8,90","R$ 0,00","R$ 8,90","R$ 0,00","R$ 1,40","R$ 1,40","R$ 1,40"
Anitápolis,"R$ 2,30","R$ 2,23","R$ 5,30","R$ 1,84","R$ 4,86","R$ 8,75","R$ 8,75","R$ 8,75","R$ 8,75","R$ 6,58","R$ 6,58","R$ 6,58","R$ 6,58","R$ 6,20","R$ 18,47","R$ 18,47","R$ 18,47","R$ 6,58",,,
Pirenópolis,"R$ 1,40","R$ 1,40","R$ 2,80","R$ 1,40","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 8,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8,90","R$ 0,00","R$ 8,90","R$ 0,00","R$ 1,40","R$ 1,40","R$ 1,40"
Hidrolândia,"R$ 0,90","R$ 0,90","R$ 1,43","R$ 0,90","R$ 1,97","R$ 1,97","R$ 1,97","R$ 1,97","R$ 3,00","R$ 3,00","R$ 3,00","R$ 3,00","R$ 3,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3,00","R$ 0,90","R$ 0,90","R$ 0,90"
Guará,"R$ 1,40","R$ 1,40","R$ 2,80","R$ 1,40","R$ 3,30","R$ 3,30","R$ 3,30","R$ 3,30","R$ 8,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8,90","R$ 0,00","R$ 8,90","R$ 0,00","R$ 1,40","R$ 1,40","R$ 1,40"
Cabo Frio,"R$ 2,48","R$ 4,03","R$ 6,51","R$ 3,10","R$ 9,30","R$ 10,85","R$ 13,95","R$ 15,50","R$ 17,05","R$ 31,00","R$ 40,30","R$ 48,05","R$ 49,60","R$ 16,43","R$ 24,18","R$ 24,18","R$ 27,90",,,,
Petrópolis,"R$ 2,85","R$ 3,15","R$ 4,00","R$ 2,65","R$ 4,25","R$ 5,00","R$ 6,00","R$ 6,00","R$ 17,00","R$ 18,50","R$ 24,00","R$ 24,00","R$ 24,00","R$ 17,00","R$ 17,00","R$ 17,00","R$ 17,00",,,,
