code,neighborhood,city,state,status,Toalha de rosto,Toalha de piso,Toalha de maquiagem,Toalha de banho,Pano de prato,Pano de pia,Manta queen size,Lençol solteiro,Lençol queen size,Lençol king size,Lençol casal,Fronha,Edredom solteiro,Edredom queen size,Edredom king size,Edredom casal,Colcha solteiro,Colcha queen size,Colcha casal,Cobertor queen size,Capa edredom solteiro,Capa edredom queen size,Capa edredom king size,Capa edredom casal
OKA101,Campeche,Florianópolis,SC,Active,2,2,0,7,0,0,1,2,0,0,6,7,0,0,0,3,0,0,0,0,0,0,0,3
OKA102,Campeche,Florianópolis,SC,Active,1,1,0,4,0,0,0,0,4,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0
OKA105,Campeche,Florianópolis,SC,Active,3,3,0,5,0,0,1,2,0,0,4,5,0,0,0,2,0,0,0,0,0,0,0,2
OKA106,Campeche,Florianópolis,SC,Active,2,2,0,7,0,0,3,6,4,0,0,7,0,2,0,0,0,0,0,0,0,2,0,0
OKA110,Campeche,Florianópolis,SC,Active,2,2,0,7,0,0,5,10,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,1
OKA111,Campeche,Florianópolis,SC,Active,2,2,0,5,0,0,3,6,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,1
OKA120,Campeche,Florianópolis,SC,Active,2,2,0,6,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0,0,0,0,0,3
OKA128,Campeche,Florianópolis,SC,Active,1,1,0,4,0,0,1,0,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0
OKA131,Campeche,Florianópolis,SC,Active,1,1,0,3,0,0,1,2,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0
OKA134,Campeche,Florianópolis,SC,Active,1,1,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0
OKA139,Campeche,Florianópolis,SC,Active,2,2,2,4,1,1,2,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
OKA141,Campeche,Florianópolis,SC,Active,2,2,0,5,0,0,3,6,2,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0
OKA142,Campeche,Florianópolis,SC,Active,1,1,0,4,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
OKA204,Campeche,Florianópolis,SC,Active,1,1,0,4,0,0,1,0,2,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0
OKA206,Campeche,Florianópolis,SC,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKA210,Campeche,Florianópolis,SC,Active,2,2,0,6,0,0,4,8,2,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0
OKA213,Campeche,Florianópolis,SC,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKA216,Campeche,Florianópolis,SC,Active,2,2,0,7,0,0,5,10,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,1
OKA224,Campeche,Florianópolis,SC,Active,2,2,0,6,0,0,2,4,2,0,2,6,0,1,0,1,0,0,0,0,0,1,0,1
OKA233,Campeche,Florianópolis,SC,Active,1,1,0,3,0,0,1,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,1
