Code,Taxa de limpeza
OKA101,"266,00"
OKA102,"256,00"
OKA105,"256,00"
OKA106,"254,00"
OKA110,"256,00"
OKA111,"256,00"
OKA114,"254,00"
OKA115,"232,00"
OKA120,"300,00"
OKA121,"256,00"
OKA123,"279,00"
OKA124,"256,00"
OKA125,"254,00"
OKA128,"240,00"
OKA131,"240,00"
OKA134,"256,00"
OKA135,"266,00"
OKA139,"256,00"
OKA141,"266,00"
OKA142,"266,00"
OKA204,"240,00"
OKA205,"208,00"
OKA206,"256,00"
OKA210,"240,00"
OKA213,"251,00"
OKA216,"240,00"
OKA224,"178,00"
OKA233,"300,00"
OKA236,"263,00"
OKA239,"180,00"
OKA239,"266,00"
